TF	Gene	FC
arcA	acnB	-1.570161923640663
arcA	acs	-3.290924569001818
arcA	arcA	3.2074895701558885
arcA	argT	-2.692934712818709
arcA	b0725	-2.4299935328005886
arcA	fadB	-2.3489872949122867
arcA	fumA	-1.9888929820158894
arcA	glcC	-2.3609638162921844
arcA	icd	-2.0325385062308774
arcA	kgtP	-1.9392809606260992
arcA	mdh	-2.232404684961762
arcA	mhpR	-1.8193088575840866
arcA	mqo	-1.9099681330209
arcA	msrB	-2.166762051849324
arcA	phoH	-2.9015766005144705
arcA	puuD	-1.7332893325757115
arcA	sdhA	-3.43954023690024
arcA	sdhB	-2.9524583481052176
arcA	sdhC	-3.9124401770057626
arcA	sdhD	-3.7985584620138626
arcA	sthA	-2.1216317667394313
arcA	sucA	-2.421373361340596
arcA	sucB	-2.5065322819698492
arcA	sucC	-2.6536142678485706
arcA	sucD	-2.126641878369556
arcA	ydcI	-2.0295447999464162
arcA	yeaC	-2.101424788345971
arcA	yejG	-2.605632459114518
arcA	yhjE	-1.2487978321918292
arcA	yigI	-2.1137188747007665
baeR	aaeB	-0.9652736232969882
baeR	aaeR	-0.04658055820026229
baeR	aas	-0.4652343556885967
baeR	aat	0.0705684492696599
baeR	abgA	0.5039132652049284
baeR	abgB	0.5940634314903411
baeR	abgT	0.7984105289542796
baeR	abrB	1.4764816434444399
baeR	accA	-0.40225195924440404
baeR	accB	-0.5833267463099429
baeR	accC	-0.8503278016596398
baeR	accD	-0.8206431788923152
baeR	aceA	-1.2074494194980738
baeR	aceB	-0.4042985854523669
baeR	aceE	-0.9330837671731438
baeR	aceK	0.03976655005796868
baeR	ackA	0.7601324870772534
baeR	acnA	0.5214468867777285
baeR	acnB	-0.6722752248387448
baeR	acpH	0.37017897085765467
baeR	acpP	0.14411429970786077
baeR	acpT	-0.10035366484403023
baeR	acrA	0.5876244350927144
baeR	acrB	0.26325232194498477
baeR	acrD	1.5164013164176828
baeR	acrF	1.1859239644750619
baeR	acrR	-0.07645301103234667
baeR	acs	0.7459711362075705
baeR	actP	2.534376043791158
baeR	ada	-0.5905149507999768
baeR	add	-0.22482124044206786
baeR	ade	0.4732989232455621
baeR	adhE	0.8975871779736482
baeR	adiA	1.909244087151303
baeR	adiC	0.41957392316617476
baeR	adiY	0.9827755558278578
baeR	adk	-0.3467392436537678
baeR	adrA	0.5489892658654755
baeR	aegA	1.510532682148912
baeR	aer	1.8187875702853766
baeR	aes	0.591721774921976
baeR	afuB	1.308852750551938
baeR	afuC	1.1650738546768244
baeR	agaA	1.2656877142961407
baeR	agaC	0.34809651733507074
baeR	agaD	0.8857125993052535
baeR	agaI	0.6630195840474986
baeR	agaS	0.8325692202084586
baeR	agaV	0.7452446324529598
baeR	agaW	0.543071947040534
baeR	agp	0.5052539076980611
baeR	ahpF	-1.424975149220289
baeR	aidB	-0.5197235657384038
baeR	ais	-3.390716769008532
baeR	alaA	-0.006060056420082453
baeR	alaE	-3.187705971818108
baeR	alaS	-0.1204373089598369
baeR	alaT	-0.4297677935409364
baeR	aldA	-0.901208750143575
baeR	aldB	1.4008934352316045
baeR	alkA	-0.4797341461524061
baeR	allA	0.3224275749292994
