"RNA0-309"	[0.0, 0.0, 0.0, 24573.943, 0.0, 0.0, 0.0, 114.16800000000006, 0.0, 0.0, 0.0]	["c"]
"RNA0-310"	[0.0, 0.0, 0.0, 24576.895, 0.0, 0.0, 0.0, 115.11200000000002, 0.0, 0.0, 0.0]	["c"]
"RNA0-311"	[0.0, 0.0, 0.0, 24627.015, 0.0, 0.0, 0.0, 100.14100000000002, 0.0, 0.0, 0.0]	["c"]
"RNA0-312"	[0.0, 0.0, 0.0, 24521.855000000003, 0.0, 0.0, 0.0, 130.19099999999997, 0.0, 0.0, 0.0]	["c"]
"RNA0-313"	[0.0, 0.0, 0.0, 24521.855000000003, 0.0, 0.0, 0.0, 130.19099999999997, 0.0, 0.0, 0.0]	["c"]
"RNA0-314"	[0.0, 0.0, 0.0, 24521.855000000003, 0.0, 0.0, 0.0, 130.19099999999997, 0.0, 0.0, 0.0]	["c"]
"RNA0-319"	[0.0, 0.0, 0.0, 24945.220999999998, 0.0, 0.0, 0.0, 132.20599999999996, 0.0, 0.0, 0.0]	["c"]
"RNA0-321"	[0.0, 0.0, 0.0, 24945.220999999998, 0.0, 0.0, 0.0, 132.20599999999996, 0.0, 0.0, 0.0]	["c"]
"RNA0-322"	[0.0, 0.0, 0.0, 24929.222, 0.0, 0.0, 0.0, 132.20599999999996, 0.0, 0.0, 0.0]	["c"]
"RNA0-323"	[0.0, 0.0, 0.0, 24945.220999999998, 0.0, 0.0, 0.0, 132.20599999999996, 0.0, 0.0, 0.0]	["c"]
"charged-alaT-tRNA"	[0.0, 0.0, 0.0, 24619.972, 0.0, 0.0, 0.0, 72.08700000000005, 0.0, 0.0, 0.0]	["c"]
"charged-alaU-tRNA"	[0.0, 0.0, 0.0, 24619.972, 0.0, 0.0, 0.0, 72.08700000000005, 0.0, 0.0, 0.0]	["c"]
"charged-alaV-tRNA"	[0.0, 0.0, 0.0, 24619.972, 0.0, 0.0, 0.0, 72.08700000000005, 0.0, 0.0, 0.0]	["c"]
"charged-alaW-tRNA"	[0.0, 0.0, 0.0, 24668.024, 0.0, 0.0, 0.0, 72.08700000000005, 0.0, 0.0, 0.0]	["c"]
"charged-alaX-tRNA"	[0.0, 0.0, 0.0, 24668.024, 0.0, 0.0, 0.0, 72.08700000000005, 0.0, 0.0, 0.0]	["c"]
"charged-argQ-tRNA"	[0.0, 0.0, 0.0, 24939.217, 0.0, 0.0, 0.0, 158.20499999999998, 0.0, 0.0, 0.0]	["c"]
"charged-argU-tRNA"	[0.0, 0.0, 0.0, 24932.174, 0.0, 0.0, 0.0, 158.20499999999998, 0.0, 0.0, 0.0]	["c"]
"charged-argV-tRNA"	[0.0, 0.0, 0.0, 24939.217, 0.0, 0.0, 0.0, 158.20499999999998, 0.0, 0.0, 0.0]	["c"]
"charged-argW-tRNA"	[0.0, 0.0, 0.0, 24183.714, 0.0, 0.0, 0.0, 158.20499999999998, 0.0, 0.0, 0.0]	["c"]
